voltage,current,power,seconds
200.002,0.14,28.023,0.0
200.002,0.125,25.88,1.0
200.002,0.097,19.735,2.0
200.002,0.09,17.95,3.0
200.002,0.09,17.931,4.0
200.002,0.097,19.197,5.0
200.002,0.118,23.681,6.0
200.002,0.167,32.914,7.0
169.193,0.206,35.876,8.0
136.602,0.202,27.609,9.0
117.775,0.201,24.085,10.0
105.724,0.201,21.364,11.0
97.054,0.201,19.473,12.0
91.45,0.2,18.433,13.0
87.544,0.2,17.558,14.0
84.271,0.2,16.875,15.0
81.637,0.2,16.428,16.0
75.986,0.2,15.246,17.0
